question,correct_answer
Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City
"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it."
How many long was Lincoln's formal education?,18 months
What information did he record in his diary?,Descriptions of events and ompressions of men
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
The State Court rules what?,on the conformity of laws with the constitution
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel."
What makes it more difficult for a diving duck to fly?,They are heavier
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions
What happened in 1833?,Avogadro had been recalled to Turin university
What was Adams' political party?,The Federalist Party.
Where is Wilson buried?,He was buried in Washington National Cathedral
When did the first verifiable written documents appear?,Twelfth Century
What happened on plants and fungi?,They are food to beetles.
Where was Grant born?,"Point Pleasant, Ohio"
When was Coolidge born?,July 4 1872
What is polar bear's skin color?,white or cream
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus
How heavy is a male polar bear?,300-600 kg (660-1320 lb)
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
Name a turtle popularly kept as a pet.,Russian Tortoises
What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.
What did James Monroe make in 1817?,two long tours
What was Canada's most important industry until the 1800s?,The fur trade
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi"
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year
How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
Where did Wilson attend law school?,Wilson attended law school at University of Virginia
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father
Why are sea otters nearly extinct?,They've been hunted for their fur
What is an otter's den called?,Holt
What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child
How long is a leopard's tail?,60 to 110cm
How do india and latin america relate?,Uruguay exports architectural services to India and Latin America
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894
What are dark leopards known as colloquially?,Black Panthers
Are penguins astonishingly agile?,In the water they are.
What is the largest city in Romania?,Bucharest
How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment."
What are turtle eggs covered in when they incubate?,Mud or Sand
Did Horace Greenley lose in the presidential elections of 1872?,si
What is largest polar bear on record?,2200 lb
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles."
Did Roosevelt support racial integration in schools?,He supported a bill allowing school desegregation in New York State.
What is the name of a specialized species of duck adapted to catch large fish?,the smew
What suborder of turtles is extinct?,Paracryptodira
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
Was Wilson a member of the Phi Kappa Psi fraternity?,Totally.\t
Why are penguins countershaded?,for camouflage
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City
What sort of cats are solitary?,Leopards
How many suborders are turtles divided into?,Three.
What lived in Columbia?,Wilson
Who was Kwame Nkrumah?,founder and first president
What happened in 1745?,The scale was reversed
What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard
What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties
When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister."
What type of creatures breathe air and don't lay eggs underwater?,Amniotes
What company administers Leichtenstein's railways?,Austrian Federal Railways
What is the life expectancy for men?,75 years
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair
What are the similarities between beetles and grasshoppers?,mouthparts
How long is the elephant's gestation period?,22 months
What is a collective noun for a kangaroo?,"a mob, troop, or court"
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important."
What was the Consitution Act formerly called?,The British North America Act.
Why doesn't Romania have a state religion?,Romania is a secular state
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
What is Jakarta?,Indonesia's special capital region
When was Liechtenstein's current constitution adopted?,October 1921.
What used Singapore as a strategic trading post along the spice route?,British
Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
What insulate it against the cold?,Its think blubber and fur.
The Celsius crater on the Moon is what?,named after him
Where is the leopard distributed?,southern Eurasia and Africa
Who got Seward elected to the senate?,Weed
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba."
Which county was Lincoln born in?,Hardin County
What land animal has the largest brain?,elephant
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel
What happened in recent years?,his reputation as president has improved
What is actually black in color?,A polar bear's skin.
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell
Where is Adams buried?,United First Parish Church
What bordered by Saudi?,Qatar
Is the Asian elephant larger than the African?,Sometimes
When is the first record of S08_settlement in Singapore?,second century AD
What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.
What are the three sections of a beetle?,"the head, the thorax, and the abdomen"
Who assassinated Lincoln?,John Wilkes Booth
Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland
"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.
How much do elephants weight at birth?,120 kilograms
Who or what vary greatly in form within the coleoptera?,Antennae.
What European countries established states in Ghana?,The UK
What are poor neighborhoods called informally?,Cantegriles.
What part of an elephant is very important for temperature regulation?,Ears
How many species of African elephants have been proposed?,three
Where do leopards often hide their kills?,in dense vegetation
Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic
What established a trading post on the island in 1819?,British East India Company
What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
Does Romania share the same language with Moldova?,Practically
When did James Monroe die?,"July 4, 1831"
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths
What has many possible meanings?,(What?)
What religion do most Uruguayans profess?,None.
What district was Ford elected from?,Michigan's 5th congressional district
Where is Qatar's telecommunication system centered?,Doha.
What have been inhabited for millennia by aboriginal peoples?,The lands
"What does ""singa"" mean?",lion
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.
Did Wilson support desegregation?,Not in the slightest.
Did Roosevelt study biology?,He was strong in biology.
"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia
Do ducks forage underwater?,Diving ducks and sea ducks forage underwater
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind
Why did Roosevelt start Boxing lessons?,To deal with bullies
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
What is the weather like at Lake Volta?,Warm and comparatively dry
Where is Uruguay's oldest church?,"San Carlos, Maldonado."
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
What kind of ducks feed on land?,Dabbling ducks
When did organized agriculture appear in the Nile Valley?,6000 BC.
To what genus does the gray wolf belong?,Canis
What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.
When did Monroe's presidency expired?,"March 4, 1825"
What is a collective noun for kangaroos?,"mob, troop, or court"
Are ducks in the Arctic Northern Hemisphere migratory?,Some are
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman."
Where was the largest elephant ever recorded shot?,Angola
What happened in these positions in english?,These allophones cannot occur there.
How do turtles reproduce?,They lay eggs
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians
What does a polar bear's fur provide?,It provides the animal with effective camouflage.
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days
The collective noun romp is sometimes used for a group of what?,Otters
Different species of kangaroos eat what?,different diets
Who heavily influenced the architecture and culture of Montevideo?,European immigrants.
Who did Sir Thomas Stamford Raffles work for?,British East India Company
What is the largest ethnic minority in Romania?,Hungarians
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae"
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""."
Who has its own political legislature and governor ?,each province
Who did Ford nominate for Vice President?,Bob Dole
When did Qatar become an independent state?,"September 3, 1971."
What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo
What is the smallest German-speaking country in the world?,Liechtenstein
What field did Woodrow Wilson leave law practice to study?,history and political science
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
Who was Grant's brother in law?,Fred Dent
How do elephants communicate over long distances?,by producing and receiving low frequency sound
Why are ducklings particularly vulnerable?,Their inability to fly.
What is the most densely populated independent country in the world?,Monaco
When did Lincoln first serve as President?,"March 4, 1861"
Are studies insufficient evidence for global protection?,It is arguable.
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.
What makes penguins so agile in the water?,Their wings have become flippers
Do wolves leave their pack?,They leave their birth pack when they reach sexual maturity
What is the dominant religion in Ghana?,Christian
Oxygen is what?,One kind of gas obtained via a tracheal system.
How many species and genera does otter have?,13 species and 7 genera
What do turles use to breathe in the water?,Papillae
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.
What is the MRT?,One of three heavy rail passenger transport lines in Singapore.
"What happened in a log cabin in summerhill , new york?",Fillmore was born
What does a citizen use to propose changes to the Constitution?,Referendum
How many people use the bus network daily?,More than 2.78 million people.
What is the poulation of Egypt?,more than 78 million
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Who represented the Continental Congress in Europe?,John Adams
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012.
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,"
Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced."
What is the life expectancy for men in Finland?,75 years
What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed
"What does ""Era of Good Feelings"" refers to?",Reduced tension
Where do joeys complete postnatal development?,marsupium
Is uruguay's landscape mountainous?,not really?
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.
Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)"
How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him
What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
How often do turtles breed?,Every few years or more
"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party
What is Finland's economy like?,"a highly industrialised, free-market economy"
Did Roosevelt receive a Medal of Honor?,nein
What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological"""
An otter 's den is what?,A holt
What is the highest mountain in Romania?,Moldoveanu Peak.
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.
How much weight do female polar bears gain during pregnancy?,They gain double their weight.
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.
What do most recognizable international company and largest employer have in common?,They are Hilti.
Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.
