run_label,model,qid,category,answer_type,question,correct_answer,style,temperature,top_p,run,response,response_len,is_exact_match
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.0,0.3,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""screwdriver"" from his visitors. This item was needed for him to complete a task related to his work.",185,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.0,0.3,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""screwdriver"" from his visitors. This item was needed for him to complete a task related to his work.",185,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.0,0.9,1,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""screwdriver"" from his visitors. This item was needed for him to complete a task related to his work.",185,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.0,0.9,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""screwdriver"" from his visitors. This item was needed for him to complete a task related to his work.",185,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.0,0.9,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""soul.""",91,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.3,1,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""clock.""",92,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.3,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""timepiece"" from his visitors. This item was essential for him to complete his task.",168,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.3,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""screwdriver"" from his visitors. This item was needed for him to complete a task related to his work.",185,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.9,1,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""soul.""",91,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.9,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""clockwork heart"" from his visitors. This item was crucial for his survival and functioning.",176,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,0.7,0.9,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""sacrificial lamb"" from his visitors. This request was part of a larger plot involving the magical challenges they faced.",205,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.3,1,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""golden key"" from his visitors. This item was significant for unlocking a specific door in the storyline.",189,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.3,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""timepiece"" from his visitors. This item was essential for him to fulfill his role in the story.",180,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.3,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""clock.""",92,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.9,1,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""hand.""",91,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.9,2,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""key.""",90,0
Beautiful Basilisks,gpt-4o-mini,1,tv_detail,short,"In the episode \""Do Something Crazy\"" from The Magicians, what did the Clock Dwarf request from his visitors? Answer with the exact item.",A ham and cheese sandwich,explain,1.2,0.9,3,"In the episode ""Do Something Crazy"" from The Magicians, the Clock Dwarf requested a ""boomerang.""",96,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.3,1,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.3,2,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.3,3,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.9,1,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.9,2,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.0,0.9,3,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.3,1,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 9 PM and Sunday from 12 PM to 8 PM.,96,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.3,2,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.3,3,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.9,1,Aladdin's Gyro-cery is open daily from 11 AM to 9 PM.,53,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.9,2,Aladdin's Gyro-cery is open daily from 11 AM to 9 PM.,53,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,0.7,0.9,3,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 9 PM and Sunday from 12 PM to 8 PM.,96,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.3,1,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.3,2,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.3,3,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 8 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.9,1,Aladdin's Gyro-cery hours are 11 AM to 9 PM daily.,50,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.9,2,Aladdin's Gyro-cery is open Monday to Saturday from 11 AM to 9 PM and closed on Sunday.,87,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,short,1.2,0.9,3,Aladdin's Gyro-cery is open Monday to Sunday from 11:00 AM to 8:00 PM.,70,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.3,1,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their official website or contact them for the most current hours.",169,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.3,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.3,3,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.9,1,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their official website or contact them for the most current hours.",169,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.9,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.0,0.9,3,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.3,1,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.3,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.3,3,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their official website or contact them for the most current hours.",169,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.9,1,"Aladdin's Gyro-cery in Seattle, WA is typically open from 11 AM to 9 PM daily, but it's best to check their official website or contact them for the most current hours.",168,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.9,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,0.7,0.9,3,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11:00 AM to 9:00 PM daily, but it's best to check their website or call for the most current hours.",158,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.3,1,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.3,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their official website or contact them for the most current hours.",169,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.3,3,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11 AM to 9 PM daily, but it's best to check their website or call for the most current hours.",152,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.9,1,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11:00 AM to 8:00 PM daily, but it's best to check their website or call for the most current hours.",158,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.9,2,"Aladdin's Gyro-cery in Seattle, WA, is typically open from 11:00 AM to 9:00 PM daily, but it's best to check their website or call for the most current hours.",158,0
Beautiful Basilisks,gpt-4o-mini,2,local_business,short,"What are the hours of Aladdin's Gyro-cery in Seattle, WA? Answer in one line.",11:00 AM – 9:00 PM,explain,1.2,0.9,3,"Aladdin's Gyro-cery in Seattle, WA is typically open from 11 AM to 9 PM daily. Please check their website or call for the most current hours.",141,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.3,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.3,2,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.3,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.9,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.9,2,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.0,0.9,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.3,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.3,2,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.3,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.9,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.9,2,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,0.7,0.9,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.3,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.3,2,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.3,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.9,1,Space Science Pack,18,1
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.9,2,Space Science Pack,18,1
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,short,1.2,0.9,3,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.3,1,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.3,2,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.3,3,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.9,1,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.9,2,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.0,0.9,3,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.3,1,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.3,2,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.3,3,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.9,1,Production Science Pack,23,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.9,2,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,0.7,0.9,3,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,1.2,0.3,1,Production Science Pack.,24,0
Beautiful Basilisks,gpt-4o-mini,3,video_game_niche,short,"In Factorio, which science pack is required to research \""Rocket Silo\""? Answer with the pack name only.",Space Science Pack,explain,1.2,0.3,2,Production Science Pack.,24,0
