question,correct_answer,question_type
How much do wolves weigh?,typically varies between 32 and 62 kilograms,numerical_temporal
When did he become a professor?,1820,numerical_temporal
When did Qatar become an independent state?,"September 3, 1971.",numerical_temporal
How long was Lincoln's legal Career?,23 years,numerical_temporal
How many square kilometres of continental land is Uruguay?,176.215 km��,numerical_temporal
When did Ghana achieve independence from the United Kingdom?,1957,numerical_temporal
Grant was elected president as a Republican in what year?,1868,numerical_temporal
When did the first official report of kangaroo blindness take place?,1994,numerical_temporal
When was Woodrow Wilson born?,"December 28, 1856",numerical_temporal
When did Adams graduate from college?,1755,numerical_temporal
How many children did Grover Cleveland have?,5,numerical_temporal
When did James Monroe die?,"July 4, 1831",numerical_temporal
How many counties is Romania divided into?,41,numerical_temporal
In what year did East Timor secede from Indonesia?,1999,numerical_temporal
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861,numerical_temporal
What percentage of Liechtenstein's population is foreign-born?,two-thirds,numerical_temporal
How many times has Uruguay won the World Cup?,Twice.,numerical_temporal
When was Lee Kuan Yew prime minister of Singapore?,1959,numerical_temporal
"When was he elected sheriff of Erire County, New York?",Yes.,numerical_temporal
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,numerical_temporal
When did Monroe's presidency expired?,"March 4, 1825",numerical_temporal
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,numerical_temporal
How long is a leopard's tail?,60 to 110cm,numerical_temporal
How many species of African elephants have been proposed?,three,numerical_temporal
When did he vote for democrat james buchanan?,1856,numerical_temporal
When was the first factory opened?,1836,numerical_temporal
How many municipalities are within Oberland?,6,numerical_temporal
How many people use the bus network daily?,More than 2.78 million people.,numerical_temporal
How many regions is Ghana divided into?,10,numerical_temporal
How much do elephants weight at birth?,120 kilograms,numerical_temporal
When did Lincoln begin his political career?,1832,numerical_temporal
When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820.",numerical_temporal
When was the Six Day War?,1967,numerical_temporal
When did the Gettysburg address argue that America was born?,1776,numerical_temporal
Since when has Egypt been a republic?,June 18 1953.,numerical_temporal
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep.",numerical_temporal
Qatar became an independent sovereign state in what year?,"On September 3, 1971.",numerical_temporal
How many suborders are turtles divided into?,Three.,numerical_temporal
When is the first record of S08_settlement in Singapore?,second century AD,numerical_temporal
European books and maps began referring to this region as Canada in what year?,1545,numerical_temporal
How many municipalities is Liechtenstein divided into?,11,numerical_temporal
How long is polar bear's guard hair?,5-15 cm,numerical_temporal
When was Coolidge born?,July 4 1872,numerical_temporal
How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average,numerical_temporal
When did James Monroe graduate from William and Mary?,1776,numerical_temporal
